id,tipo,cantidad,idTourista,zona,timestamp
1,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.503477500
2,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.536357600
3,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.538508300
4,VIP,75.0,1,Recinto de Observacion,2026-05-21T23:34:12.540975400
5,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.541975600
6,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.542971800
7,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.565801900
8,SPA,20.0,1,Zona de Baños,2026-05-21T23:34:12.567793700
9,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.568793600
10,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.570801800
11,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.572130300
12,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.573130900
13,VIP,75.0,1,Recinto de Observacion,2026-05-21T23:34:12.575134600
14,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.577134600
15,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.578135400
16,VIP,75.0,1,Recinto de Observacion,2026-05-21T23:34:12.580134900
17,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.581133
18,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.582583500
19,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.584751600
20,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.585816100
21,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.587511700
22,VIP,75.0,1,Recinto de Observacion,2026-05-21T23:34:12.588668900
23,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.589631400
24,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.590647300
25,Venta boleto,125.0,5,Zona de Arribo,2026-05-21T23:34:12.596611800
26,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.598609300
27,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.599711100
28,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.601211600
29,VIP,75.0,1,Recinto de Observacion,2026-05-21T23:34:12.604169100
30,PREMIUM,30.0,1,Recinto de Observacion,2026-05-21T23:34:12.605806900
31,BASIC,10.0,1,Recinto de Observacion,2026-05-21T23:34:12.607827400
32,SOUVENIR,15.0,1,Central Hub,2026-05-21T23:34:12.609820100
